               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.023344,            0.021943,           0.0042535,             0.79178,             0.96407,             0.93871,             0.66511,             0.01692,            0.010164,          0.00077898,            0.005446,            0.005446,            0.005446
                  94,            0.026581,            0.020593,            0.006921,             0.78109,                   1,             0.93871,             0.63428,            0.017874,           0.0099663,          0.00070325,           0.0053965,           0.0053965,           0.0053965
                  95,            0.024601,            0.019808,            0.003233,             0.68479,             0.98638,              0.8577,             0.50686,            0.018608,            0.013746,           0.0016733,            0.005347,            0.005347,            0.005347
                  96,            0.024483,            0.022469,           0.0052573,             0.73157,             0.82852,             0.76636,             0.48385,            0.014499,             0.01546,           0.0018062,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022611,            0.018911,            0.004221,             0.81259,             0.97121,              0.8735,             0.54397,            0.018891,            0.013399,           0.0015039,            0.005248,            0.005248,            0.005248
                  98,            0.026256,            0.021472,           0.0052707,             0.81378,              0.9756,              0.8735,             0.55123,            0.016829,            0.012714,           0.0011365,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022223,            0.019821,           0.0042314,             0.84949,             0.98966,             0.91917,             0.64154,            0.013569,             0.01057,          0.00060854,            0.005149,            0.005149,            0.005149
                 100,            0.024794,            0.021562,           0.0043983,             0.85232,              0.9167,             0.94667,             0.70112,            0.016116,           0.0096031,          0.00084969,           0.0050995,           0.0050995,           0.0050995
                 101,            0.024173,            0.019497,           0.0043652,             0.90209,             0.82263,              0.9494,             0.62916,            0.015028,            0.010702,          0.00084813,             0.00505,             0.00505,             0.00505
                 102,            0.022747,            0.018637,           0.0049572,             0.70511,             0.97117,             0.88014,             0.59699,            0.017392,            0.010937,          0.00090542,           0.0050005,           0.0050005,           0.0050005
                 103,            0.023452,            0.021609,           0.0041788,             0.73157,             0.96819,             0.88279,              0.5924,            0.019989,            0.010745,          0.00087027,            0.004951,            0.004951,            0.004951
                 104,            0.024626,            0.021579,           0.0030237,             0.91122,             0.87338,             0.93467,             0.67946,            0.013579,           0.0098264,          0.00065303,           0.0049015,           0.0049015,           0.0049015
                 105,            0.020699,            0.019414,           0.0050604,             0.84406,             0.87722,             0.87221,             0.62633,            0.014486,            0.010586,          0.00063304,            0.004852,            0.004852,            0.004852
                 106,            0.024211,             0.01846,              0.0045,             0.89558,             0.91667,             0.88905,             0.62479,            0.012474,            0.010831,          0.00072348,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021195,            0.018711,           0.0041955,              0.7721,             0.87922,             0.84971,             0.60767,            0.014375,            0.011523,          0.00084224,            0.004753,            0.004753,            0.004753
                 108,            0.024174,            0.020168,           0.0054011,             0.75885,             0.89435,             0.82029,             0.54212,            0.016076,            0.011016,          0.00072227,           0.0047035,           0.0047035,           0.0047035
                 109,             0.02331,            0.019688,           0.0038474,             0.84358,              0.9907,             0.90375,             0.69269,            0.016444,           0.0095094,           0.0010788,            0.004654,            0.004654,            0.004654
                 110,            0.023544,             0.01993,           0.0060126,              0.9747,             0.74177,             0.90848,             0.64758,            0.017108,           0.0099832,           0.0045903,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021347,            0.020332,           0.0053383,             0.80874,             0.90642,             0.92343,             0.68769,            0.014451,           0.0095402,           0.0031051,            0.004555,            0.004555,            0.004555
                 112,            0.021489,            0.021109,           0.0030792,             0.80364,                   1,             0.87063,             0.60145,            0.016434,            0.009822,           0.0011706,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022611,            0.019593,           0.0041759,             0.84411,             0.97547,             0.87063,             0.57175,            0.016523,            0.012188,           0.0015706,            0.004456,            0.004456,            0.004456
                 114,            0.025367,            0.019392,             0.00583,             0.85912,             0.91667,              0.8592,             0.51927,             0.01686,             0.01159,           0.0026503,           0.0044065,           0.0044065,           0.0044065
                 115,            0.022424,            0.018586,           0.0050614,             0.86197,             0.89763,             0.90107,             0.61813,             0.01488,            0.010937,           0.0021192,            0.004357,            0.004357,            0.004357
                 116,            0.021537,            0.019968,            0.003127,             0.87243,             0.88414,             0.92532,             0.58777,            0.016907,            0.011483,           0.0015127,           0.0043075,           0.0043075,           0.0043075
                 117,            0.022505,            0.018986,           0.0041113,             0.79979,             0.92637,             0.94786,             0.66287,            0.014259,            0.010095,          0.00077296,            0.004258,            0.004258,            0.004258
                 118,            0.022203,            0.019116,            0.004157,             0.85097,             0.94566,             0.98357,             0.66825,            0.014044,           0.0096055,          0.00073939,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018913,            0.019209,           0.0020651,             0.85198,             0.99764,               0.995,             0.70917,            0.014643,           0.0098505,          0.00090571,            0.004159,            0.004159,            0.004159
                 120,            0.021101,            0.018041,           0.0041069,             0.86743,             0.91667,             0.94786,             0.68089,              0.0153,             0.01045,          0.00083284,           0.0041095,           0.0041095,           0.0041095
                 121,            0.020427,            0.018451,           0.0021454,             0.82346,             0.82581,              0.8697,             0.63583,            0.014096,            0.010775,           0.0014698,             0.00406,             0.00406,             0.00406
                 122,            0.022117,            0.018494,           0.0022626,             0.88265,             0.82555,               0.879,              0.6413,            0.012917,            0.010866,           0.0016357,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020715,            0.019753,           0.0036308,             0.83239,                0.75,             0.82482,              0.5655,            0.016591,            0.011503,           0.0032566,            0.003961,            0.003961,            0.003961
                 124,            0.022583,            0.017165,           0.0043958,             0.85461,             0.82597,             0.85979,             0.61412,            0.012939,             0.01186,           0.0028588,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020334,            0.020211,           0.0032918,             0.87286,             0.80188,             0.85494,             0.62167,            0.012566,            0.011547,           0.0051771,            0.003862,            0.003862,            0.003862
                 126,            0.021756,            0.018062,           0.0035521,             0.86581,              0.7943,             0.85232,             0.57884,            0.015788,            0.011669,           0.0061029,           0.0038125,           0.0038125,           0.0038125
                 127,            0.020456,            0.019224,           0.0043339,             0.88742,             0.81763,             0.88435,             0.59741,             0.01357,            0.011069,           0.0046664,            0.003763,            0.003763,            0.003763
                 128,            0.021618,            0.018026,           0.0042519,             0.74659,             0.91667,             0.88262,             0.64729,            0.013389,            0.010656,           0.0051384,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022196,            0.018623,           0.0047803,             0.73162,             0.94861,             0.89718,             0.60917,            0.013941,            0.010866,            0.011025,            0.003664,            0.003664,            0.003664
